"Date","Cases","New_cases","Deceased","Hospitalized","Recovered","Quarantined","Not_hospitalized","Active","Total","New_Deceased","New_Hospitalized","New_Recovered","New_not_hospitalized","Tests","New_tests","Total_positivity","positivity","avgPositivity","Tweet","avgnewcases","avgnewtests","avgnewhospitalized","avgnewdead","avgmonthlynewdead","weeklydead","biweeklydead","monthlydead"
2020-03-22,3,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,NA
2020-03-23,3,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,NA
2020-03-24,4,1,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,NA
2020-03-25,8,4,0,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-03-26,10,2,0,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28571428571429,NA,NA,NA,NA,NA,NA,NA
2020-03-27,11,1,0,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42857142857143,NA,NA,NA,NA,NA,NA,NA
2020-03-28,15,4,0,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71428571428571,NA,NA,NA,NA,NA,NA,NA
2020-03-29,21,6,0,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57142857142857,NA,NA,NA,NA,NA,NA,NA
2020-03-30,24,3,0,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2020-03-31,29,5,0,14,3,NA,12,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57142857142857,NA,NA,NA,NA,NA,NA,NA
2020-04-01,38,9,0,15,5,NA,18,33,0,0,1,2,6,NA,NA,NA,NA,NA,NA,4.28571428571429,NA,NA,NA,NA,NA,NA,NA
2020-04-02,46,8,0,16,6,NA,24,40,0,0,1,1,6,NA,NA,NA,NA,NA,NA,5.14285714285714,NA,NA,NA,NA,NA,NA,NA
2020-04-03,52,6,0,18,7,NA,27,45,0,0,2,1,3,NA,NA,NA,NA,NA,NA,5.85714285714286,NA,NA,NA,NA,NA,NA,NA
2020-04-04,55,3,0,9,16,NA,30,39,0,0,-9,9,3,NA,NA,NA,NA,NA,NA,5.71428571428571,NA,NA,NA,NA,NA,NA,NA
2020-04-05,56,1,0,9,17,NA,30,39,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06,63,7,1,8,22,NA,32,40,0,1,-1,5,2,NA,NA,NA,NA,NA,NA,5.57142857142857,NA,12.7142857142857,NA,NA,NA,NA,NA
2020-04-07,67,4,1,8,24,NA,34,42,0,0,0,2,2,NA,NA,NA,NA,NA,NA,5.42857142857143,NA,11.8571428571429,0.142857142857143,NA,1,NA,NA
2020-04-08,70,3,1,5,27,NA,37,42,0,0,-3,3,3,NA,NA,NA,NA,NA,NA,4.57142857142857,NA,10.4285714285714,0.142857142857143,NA,1,NA,NA
2020-04-09,74,4,2,4,39,NA,29,33,0,1,-1,12,-8,NA,NA,NA,NA,NA,NA,4,NA,8.71428571428571,0.285714285714286,NA,2,NA,NA
2020-04-10,82,8,2,8,40,NA,32,40,0,0,4,1,3,NA,NA,NA,NA,NA,NA,4.28571428571429,NA,7.28571428571429,0.285714285714286,NA,2,NA,NA
2020-04-11,85,3,2,8,43,NA,32,40,0,0,0,3,0,NA,NA,NA,NA,NA,NA,4.28571428571429,NA,7.14285714285714,0.285714285714286,NA,2,NA,NA
2020-04-12,85,0,2,8,43,NA,32,40,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.14285714285714,NA,7,0.285714285714286,NA,2,NA,NA
2020-04-13,87,2,2,9,48,NA,28,37,0,0,1,5,-4,NA,NA,NA,NA,NA,NA,3.42857142857143,NA,7.14285714285714,0.142857142857143,NA,1,NA,NA
2020-04-14,89,2,2,10,54,NA,23,33,0,0,1,6,-5,1481,NA,0.0600945307224848,NA,NA,NA,3.14285714285714,NA,7.42857142857143,0.142857142857143,NA,1,2,NA
2020-04-15,90,1,4,7,55,NA,24,31,0,2,-3,1,1,1638,157,0.0549450549450549,0.00636942675159236,NA,NA,2.85714285714286,NA,7.71428571428571,0.428571428571429,NA,3,4,NA
2020-04-16,91,1,4,6,56,NA,25,31,0,0,-1,1,1,1714,76,0.0530921820303384,0.0131578947368421,NA,NA,2.42857142857143,NA,8,0.285714285714286,NA,2,4,NA
2020-04-17,93,2,4,6,57,NA,26,32,0,0,0,1,1,1758,44,0.052901023890785,0.0454545454545455,NA,NA,1.57142857142857,NA,7.71428571428571,0.285714285714286,NA,2,4,NA
2020-04-18,94,1,4,6,61,NA,23,29,0,0,0,4,-3,1848,90,0.0508658008658009,0.0111111111111111,NA,NA,1.28571428571429,NA,7.42857142857143,0.285714285714286,NA,2,4,NA
2020-04-19,95,1,4,6,61,NA,24,30,0,0,0,0,1,1889,41,0.050291159343568,0.024390243902439,NA,NA,1.42857142857143,NA,7.14285714285714,0.285714285714286,NA,2,4,NA
2020-04-20,95,0,4,5,62,NA,24,29,0,0,-1,1,0,1929,40,0.0492483151892172,0,NA,NA,1.14285714285714,NA,6.57142857142857,0.285714285714286,NA,2,3,NA
2020-04-21,96,1,4,6,79,NA,7,13,0,0,1,17,-17,1983,54,0.048411497730711,0.0185185185185185,0.0139442231075697,NA,1,71.7142857142857,6,0.285714285714286,NA,2,3,NA
2020-04-22,98,2,5,6,79,NA,8,14,0,1,0,0,1,2103,120,0.0466000951022349,0.0166666666666667,0.0172043010752688,NA,1.14285714285714,66.4285714285714,5.85714285714286,0.142857142857143,NA,1,4,NA
2020-04-23,100,2,5,6,79,NA,10,16,0,0,0,0,2,2208,105,0.0452898550724638,0.019047619047619,0.0182186234817814,NA,1.28571428571429,70.5714285714286,5.85714285714286,0.142857142857143,NA,1,3,NA
2020-04-24,103,3,5,6,81,NA,11,17,0,0,0,2,1,2279,71,0.0451952610794208,0.0422535211267606,0.0191938579654511,NA,1.42857142857143,74.4285714285714,5.85714285714286,0.142857142857143,NA,1,3,NA
2020-04-25,104,1,5,6,81,NA,12,18,0,0,0,0,1,2348,69,0.0442930153321976,0.0144927536231884,0.02,NA,1.42857142857143,71.4285714285714,5.85714285714286,0.142857142857143,NA,1,3,NA
2020-04-26,105,1,5,6,81,NA,13,19,0,0,0,0,1,2475,127,0.0424242424242424,0.0078740157480315,0.0170648464163823,NA,1.42857142857143,83.7142857142857,5.85714285714286,0.142857142857143,NA,1,3,NA
2020-04-27,109,4,6,5,81,NA,17,22,0,1,-1,0,4,2529,54,0.0431000395413207,0.0740740740740741,0.0233333333333333,NA,2,85.7142857142857,5.85714285714286,0.285714285714286,NA,2,4,NA
2020-04-28,114,5,6,6,86,NA,16,22,0,0,1,5,-1,2624,95,0.0434451219512195,0.0526315789473684,0.0280811232449298,NA,2.57142857142857,91.5714285714286,5.85714285714286,0.285714285714286,NA,2,4,NA
2020-04-29,124,10,6,6,86,NA,26,32,0,0,0,0,10,2869,245,0.0432206343673754,0.0408163265306122,0.0339425587467363,NA,3.71428571428571,109.428571428571,5.85714285714286,0.142857142857143,NA,1,2,NA
2020-04-30,135,11,6,6,89,NA,34,40,0,0,0,3,8,3128,259,0.0431585677749361,0.0424710424710425,0.0380434782608696,NA,5,131.428571428571,5.85714285714286,0.142857142857143,NA,1,2,NA
2020-05-01,149,14,6,6,89,NA,48,54,0,0,0,0,14,3361,233,0.0443320440345135,0.0600858369098712,0.0425138632162662,NA,6.57142857142857,154.571428571429,5.85714285714286,0.142857142857143,0.193548387096774,1,2,6
2020-05-02,169,20,6,6,89,NA,68,74,0,0,0,0,20,3679,318,0.0459363957597173,0.0628930817610063,0.0488354620586026,NA,9.28571428571429,190.142857142857,5.85714285714286,0.142857142857143,0.193548387096774,1,2,6
2020-05-03,173,4,6,6,90,NA,71,77,0,0,0,1,3,3820,141,0.0452879581151832,0.0283687943262411,0.0505576208178439,NA,9.71428571428571,192.142857142857,5.85714285714286,0.142857142857143,0.193548387096774,1,2,6
2020-05-04,183,10,6,5,110,NA,62,67,0,0,-1,20,-9,3945,125,0.0463878326996198,0.08,0.0522598870056497,NA,10.5714285714286,202.285714285714,5.85714285714286,0,0.193548387096774,0,2,6
2020-05-05,208,25,6,5,113,NA,84,89,0,0,0,3,22,4237,292,0.0490913382109983,0.0856164383561644,0.0582765034097954,NA,13.4285714285714,230.428571428571,5.71428571428571,0,0.193548387096774,0,2,6
2020-05-06,217,9,6,6,116,NA,89,95,0,0,1,3,5,4559,322,0.0475981574906778,0.0279503105590062,0.0550295857988166,NA,13.2857142857143,241.428571428571,5.71428571428571,0,0.193548387096774,0,1,6
2020-05-07,236,19,6,6,123,NA,101,107,0,0,0,7,12,4817,258,0.0489931492630268,0.0736434108527132,0.0597986974541149,NA,14.4285714285714,241.285714285714,5.71428571428571,0,0.161290322580645,0,1,5
2020-05-08,254,18,6,6,123,NA,119,125,0,0,0,0,18,5128,311,0.0495319812792512,0.0578778135048231,0.0594227504244482,NA,15,252.428571428571,5.71428571428571,0,0.161290322580645,0,1,5
2020-05-09,263,9,6,6,146,NA,105,111,0,0,0,23,-14,5128,0,0.0512870514820593,NA,0.064872325741891,NA,13.4285714285714,207,5.71428571428571,0,0.161290322580645,0,1,5
2020-05-10,266,3,6,7,146,NA,107,114,0,0,1,0,2,5128,0,0.0518720748829953,NA,0.0711009174311927,NA,13.2857142857143,186.857142857143,5.85714285714286,0,0.129032258064516,0,1,4
2020-05-11,298,32,6,7,146,NA,139,146,0,0,0,0,32,5667,539,0.0525851420504676,0.0816326530612245,0.0667828106852497,NA,16.4285714285714,246,6.14285714285714,0,0.129032258064516,0,0,4
2020-05-12,308,10,7,3,155,NA,143,146,0,1,-4,9,4,5989,322,0.0514276172983804,0.031055900621118,0.0570776255707763,NA,14.2857142857143,250.285714285714,5.85714285714286,0.142857142857143,0.161290322580645,1,1,5
2020-05-13,322,14,7,3,168,NA,144,147,0,0,0,13,1,6298,309,0.0511273420133376,0.0453074433656958,0.0603795284646348,NA,15,248.428571428571,5.42857142857143,0.142857142857143,0.161290322580645,1,1,5
2020-05-14,333,11,7,3,173,NA,150,153,0,0,0,5,6,6717,419,0.0495757034390353,0.0262529832935561,0.0510526315789474,NA,13.8571428571429,271.428571428571,5,0.142857142857143,0.161290322580645,1,1,5
2020-05-15,356,23,7,3,179,NA,167,170,0,0,0,6,17,7682,965,0.0463420984118719,0.0238341968911917,0.0399373531714957,NA,14.5714285714286,364.857142857143,4.57142857142857,0.142857142857143,0.161290322580645,1,1,5
2020-05-16,382,26,7,3,206,NA,166,169,0,0,0,27,-1,7682,0,0.0497266336891434,NA,0.0465935787000783,NA,17,364.857142857143,4.14285714285714,0.142857142857143,0.0967741935483871,1,1,3
2020-05-17,387,5,7,3,206,NA,171,174,0,0,0,0,5,8463,781,0.0457284650833038,0.0396927016645326,0.0362818590704648,NA,17.2857142857143,476.428571428571,3.57142857142857,0.142857142857143,0.0967741935483871,1,1,3
2020-05-18,412,25,7,4,217,NA,184,188,0,0,1,11,13,8609,146,0.0478568939481938,0.171232876712329,0.0387491502379334,NA,16.2857142857143,420.285714285714,3.14285714285714,0.142857142857143,0.0967741935483871,1,1,3
2020-05-19,449,37,7,5,223,NA,214,219,0,0,1,6,30,9141,532,0.0491193523684498,0.0695488721804511,0.0447335025380711,NA,20.1428571428571,450.285714285714,3.42857142857143,0,0.0967741935483871,0,1,3
2020-05-20,476,27,7,5,230,NA,234,239,0,0,0,7,20,9738,597,0.04888067364962,0.0452261306532663,0.0447674418604651,NA,22,491.428571428571,3.71428571428571,0,0.0967741935483871,0,1,3
2020-05-21,497,21,7,5,271,NA,214,219,0,0,0,41,-20,10011,273,0.049645390070922,0.0769230769230769,0.0497874924104432,NA,23.4285714285714,470.571428571429,4,0,0.0967741935483871,0,1,3
2020-05-22,520,23,7,3,301,NA,209,212,0,0,-2,30,-5,10011,0,0.0519428628508641,NA,0.0704164877629884,NA,23.4285714285714,332.714285714286,4,0,0.0967741935483871,0,1,3
2020-05-23,547,27,7,4,310,NA,226,230,0,0,1,9,17,11661,1650,0.0469084984135151,0.0303030303030303,0.0414677054536316,NA,23.5714285714286,568.428571428571,4.14285714285714,0,0.0645161290322581,0,1,2
2020-05-24,552,5,7,4,311,NA,230,234,0,0,0,1,4,11661,0,0.0473372781065089,NA,0.0515947467166979,NA,23.5714285714286,456.857142857143,4.28571428571429,0,0.0645161290322581,0,1,2
2020-05-25,561,9,7,6,359,NA,189,195,0,0,2,48,-41,11661,0,0.0481090815538976,NA,0.0488204456094364,NA,21.2857142857143,436,4.57142857142857,0,0.0645161290322581,0,1,2
2020-05-26,568,7,7,6,415,NA,140,146,0,0,0,56,-49,12485,824,0.0454945935122147,0.0254854368932039,0.0355861244019139,NA,17,477.714285714286,4.71428571428571,0,0.0645161290322581,0,0,2
2020-05-27,583,15,7,6,434,NA,136,142,0,0,0,19,-4,12874,389,0.0452850706851018,0.038560411311054,0.0341198979591837,NA,15.2857142857143,448,4.85714285714286,0,0.0645161290322581,0,0,2
2020-05-28,596,13,7,4,442,NA,143,147,0,0,-2,8,7,13314,440,0.0447649091182214,0.0295454545454545,0.0299727520435967,NA,14.1428571428571,471.857142857143,4.71428571428571,0,0.032258064516129,0,0,1
2020-05-29,611,15,7,5,467,NA,132,137,0,0,1,25,-11,13314,0,0.0458915427369686,NA,0.0275507114744172,NA,13,471.857142857143,5,0,0.032258064516129,0,0,1
2020-05-30,620,9,7,5,476,NA,132,137,0,0,0,9,0,15073,1759,0.041133151993631,0.0136441159749858,0.0213950762016413,NA,10.4285714285714,487.428571428571,5.14285714285714,0,0.032258064516129,0,0,1
2020-05-31,632,12,7,6,491,NA,128,134,0,0,1,15,-4,15073,0,0.0419292775160884,NA,0.0234466588511137,NA,11.4285714285714,487.428571428571,5.42857142857143,0,0.032258064516129,0,0,1
2020-06-01,646,14,7,6,521,NA,112,118,0,0,0,30,-16,15770,697,0.0409638554216867,0.0373027259684362,0.020686298369433,NA,12.1428571428571,587,5.42857142857143,0,0.032258064516129,0,0,1
2020-06-02,654,8,7,6,542,NA,99,105,0,0,0,21,-13,15902,132,0.0411269022764432,0.0606060606060606,0.0251682762657302,NA,12.2857142857143,488.142857142857,5.42857142857143,0,0.032258064516129,0,0,1
2020-06-03,662,8,7,6,550,NA,99,105,0,0,0,8,0,16452,550,0.0402382689034768,0.0145454545454545,0.0220793739519285,NA,11.2857142857143,511.142857142857,5.42857142857143,0,0.032258064516129,0,0,1
2020-06-04,671,9,7,5,557,NA,102,107,0,0,-1,7,3,16452,0,0.0407853148553367,NA,0.0239005736137667,NA,10.7142857142857,448.285714285714,5.57142857142857,0,0.032258064516129,0,0,1
2020-06-05,675,4,7,6,560,NA,102,108,0,0,1,3,0,17395,943,0.0388042540960046,0.0137857900318134,0.0156824307767704,"Of 943 new tests in Champaign County, 4 came back positive, or 1.4%",9.14285714285714,583,5.71428571428571,0,0.032258064516129,0,0,1
2020-06-06,684,9,7,7,570,NA,100,107,0,0,1,10,-2,18037,642,0.0379220491212508,0.014018691588785,0.0215924426450742,"Of 642 new tests in Champaign County, 9 came back positive, or 1.4%",9.14285714285714,423.428571428571,6,0,0.032258064516129,0,0,1
2020-06-07,686,2,7,6,582,NA,91,97,0,0,-1,12,-9,18554,517,0.0369731594265388,0.00386847195357834,0.0155127836828498,"Of 517 new tests in Champaign County, 2 came back positive, or 0.4%",7.71428571428571,497.285714285714,6,0,0.032258064516129,0,0,1
2020-06-08,691,5,7,10,620,NA,54,64,0,0,4,38,-37,18945,391,0.0364740036949063,0.0127877237851662,0.0141732283464567,"Of 391 new tests in Champaign County, 5 came back positive, or 1.3%",6.42857142857143,453.571428571429,6.57142857142857,0,0.032258064516129,0,0,1
2020-06-09,701,10,8,11,626,NA,56,67,0,1,1,6,2,19536,591,0.0358824733824734,0.0169204737732657,0.0129334067143643,"Of 591 new tests in Champaign County, 10 came back positive, or 1.7%",6.71428571428571,519.142857142857,7.28571428571429,0.142857142857143,0.0645161290322581,1,1,2
2020-06-10,703,2,9,11,637,NA,46,57,0,1,0,11,-10,19870,334,0.0353799698037242,0.00598802395209581,0.0119953188999415,"Of 334 new tests in Champaign County, 2 came back positive, or 0.6%",5.85714285714286,488.285714285714,8,0.285714285714286,0.0967741935483871,2,2,3
2020-06-11,708,5,9,8,644,NA,47,55,0,0,-3,7,1,20012,142,0.0353787727363582,0.0352112676056338,0.0103932584269663,"Of 142 new tests in Champaign County, 5 came back positive, or 3.5%",5.28571428571429,508.571428571429,8.42857142857143,0.285714285714286,0.0967741935483871,2,2,3
2020-06-12,715,7,9,5,653,NA,48,53,0,0,-3,9,1,21050,1038,0.0339667458432304,0.00674373795761079,0.0109439124487004,"Of 1038 new tests in Champaign County, 7 came back positive, or 0.7%",5.71428571428571,522.142857142857,8.28571428571429,0.285714285714286,0.0645161290322581,2,2,2
2020-06-13,720,5,9,5,660,NA,46,51,0,0,0,7,-2,21659,609,0.0332425319728519,0.00821018062397373,0.00993926007730536,"Of 609 new tests in Champaign County, 5 came back positive, or 0.8%",5.14285714285714,517.428571428571,8,0.285714285714286,0.0645161290322581,2,2,2
2020-06-14,728,8,9,6,662,NA,51,57,0,0,1,2,5,22071,412,0.0329844592451633,0.0194174757281553,0.0119419960193347,"Of 412 new tests in Champaign County, 8 came back positive, or 1.9%",6,502.428571428571,8,0.285714285714286,0.0645161290322581,2,2,2
2020-06-15,737,9,9,9,665,NA,54,63,0,0,3,3,3,22393,322,0.0329120707363908,0.0279503105590062,0.0133410672853828,"Of 322 new tests in Champaign County, 9 came back positive, or 2.8%",6.57142857142857,492.571428571429,7.85714285714286,0.285714285714286,0.0645161290322581,2,2,2
2020-06-16,749,12,9,10,676,NA,54,64,0,0,1,11,0,22547,154,0.0332194970506054,0.0779220779220779,0.0159415476585852,"Of 154 new tests in Champaign County, 12 came back positive, or 7.8%",6.85714285714286,430.142857142857,7.71428571428571,0.142857142857143,0.0645161290322581,1,2,2
2020-06-17,755,6,10,9,680,NA,56,65,0,1,-1,4,2,23783,1236,0.0317453643358702,0.00485436893203883,0.0132890365448505,"Of 1,236 new tests reported in Champaign County, 6 came back positive, or 0.5%",7.42857142857143,559,7.42857142857143,0.142857142857143,0.0967741935483871,1,3,3
2020-06-18,760,5,11,9,680,NA,60,69,0,1,0,0,4,24759,976,0.030695908558504,0.00512295081967213,0.0109542869180535,"Of 976 new tests reported in Champaign County, 5 came back positive, or 0.5%",7.42857142857143,678.142857142857,7.57142857142857,0.285714285714286,0.129032258064516,2,4,4
2020-06-19,761,1,11,8,694,NA,48,56,0,0,-1,14,-12,25665,906,0.0296512760568868,0.0011037527593819,0.00996749729144095,"Of 906 new tests reported in Champaign County, 1 came back positive, or 0.1%",6.57142857142857,659.285714285714,8,0.285714285714286,0.129032258064516,2,4,4
2020-06-20,766,5,12,8,697,NA,49,57,0,1,0,3,1,26272,607,0.0291565164433618,0.00823723228995058,0.00997181877303273,"Of 607 new tests reported in Champaign County, 5 came back positive, or 0.8%",6.57142857142857,659,8.42857142857143,0.428571428571429,0.161290322580645,3,5,5
2020-06-21,773,7,12,8,700,NA,53,61,0,0,0,3,4,26750,478,0.0288971962616822,0.0146443514644351,0.00961743962385125,"Of 478 new tests reported in Champaign County, 7 came back positive, or 1.5%",6.42857142857143,668.428571428571,8.71428571428571,0.428571428571429,0.161290322580645,3,5,5
2020-06-22,779,6,12,8,704,NA,55,63,0,0,0,4,2,27275,525,0.0285609532538955,0.0114285714285714,0.008603031544449,"Of 525 new tests reported in Champaign County, 6 came back positive, or 1.1%",6,697.428571428571,8.57142857142857,0.428571428571429,0.161290322580645,3,5,5
2020-06-23,796,17,12,8,714,NA,62,70,0,0,0,10,7,28103,828,0.0283243781802655,0.0205314009661836,0.00845932325413967,"Of 828 new tests reported in Champaign County, 17 came back positive, or 2.1%",6.71428571428571,793.714285714286,8.28571428571429,0.428571428571429,0.161290322580645,3,4,5
2020-06-24,806,10,12,9,722,NA,63,72,0,0,1,8,1,28251,148,0.0285299635411136,0.0675675675675676,0.011414503133393,"Of 148 new tests reported in Champaign County, 10 came back positive, or 6.8%",7.28571428571429,638.285714285714,8.28571428571429,0.285714285714286,0.161290322580645,2,3,5
2020-06-25,815,9,12,9,724,NA,70,79,0,0,0,2,7,29042,791,0.0280628055919014,0.011378002528445,0.0128414662619659,"Of 791 new tests reported in Champaign County, 9 came back positive, or 1.1%",7.85714285714286,611.857142857143,8.28571428571429,0.142857142857143,0.161290322580645,1,3,5
2020-06-26,832,17,12,11,729,NA,80,91,0,0,2,5,10,29930,888,0.0277981957901771,0.0191441441441441,0.0166471277842907,"Of 888 new tests reported in Champaign County, 17 came back positive, or 1.9%",10.1428571428571,609.285714285714,8.71428571428571,0.142857142857143,0.161290322580645,1,3,5
2020-06-27,839,7,12,11,729,NA,87,98,0,0,0,0,7,31607,1677,0.0265447527446452,0.00417412045319022,0.0136832239925023,"Of 1,677 new tests reported in Champaign County, 7 came back positive, or 0.4%",10.4285714285714,762.142857142857,9.14285714285714,0,0.161290322580645,0,3,5
2020-06-28,845,6,12,11,739,NA,83,94,0,0,0,10,-4,32383,776,0.0260939381774388,0.0077319587628866,0.0127818214095509,"Of 776 new tests reported in Champaign County, 6 came back positive, or 0.8%",10.2857142857143,804.714285714286,9.57142857142857,0,0.161290322580645,0,3,5
2020-06-29,854,9,12,12,742,NA,88,100,0,0,1,3,5,33279,896,0.0256618287809129,0.0100446428571429,0.012491672218521,"Of 896 new tests reported in Champaign County, 9 came back positive, or 1%",10.7142857142857,857.714285714286,10.1428571428571,0,0.161290322580645,0,3,5
2020-06-30,866,12,12,8,755,NA,91,99,0,0,-4,13,3,33521,242,0.0258345514751947,0.0495867768595041,0.0129198966408269,"Of 242 new tests reported in Champaign County, 12 came back positive, or 5%",10,774,10.1428571428571,0,0.161290322580645,0,3,5
2020-07-01,890,24,12,7,761,NA,110,117,0,0,-1,6,19,34791,1270,0.0255813285044983,0.0188976377952756,0.0128440366972477,"Of 1,270 new tests reported in Champaign County, 24 came back positive, or 1.9%",12,934.285714285714,9.85714285714286,0,0.161290322580645,0,2,5
2020-07-02,901,11,12,4,775,NA,110,114,0,0,-3,14,0,34899,108,0.025817358663572,0.101851851851852,0.0146832849581697,"Of 108 new tests reported in Champaign County, 11 came back positive, or 10.2%",12.2857142857143,836.714285714286,9.14285714285714,0,0.161290322580645,0,1,5
2020-07-03,902,1,12,4,780,NA,106,110,0,0,0,5,-4,37083,2184,0.024323814146644,0.000457875457875458,0.00978610373269957,"Of 2,184 new tests reported in Champaign County, 1 came back positive, or 0%",10,1021.85714285714,8.14285714285714,0,0.161290322580645,0,1,5
2020-07-04,923,21,13,5,785,NA,120,125,0,1,1,5,14,38189,1106,0.0241692634004556,0.0189873417721519,0.0127620783956244,"Of 1,106 new tests reported in Champaign County, 21 came back positive, or 1.9%",12,940.285714285714,7.28571428571429,0.142857142857143,0.193548387096774,1,1,6
2020-07-05,931,8,15,5,799,NA,112,117,0,2,0,14,-8,38293,104,0.0243125375394981,0.0769230769230769,0.0145516074450085,"Of 104 new tests reported in Champaign County, 8 came back positive, or 7.7%",12.2857142857143,844.285714285714,6.42857142857143,0.428571428571429,0.258064516129032,3,3,8
2020-07-06,958,27,15,6,809,NA,128,134,0,0,1,10,16,39311,1018,0.0243697692757752,0.0265225933202358,0.0172413793103448,"Of 1,018 new tests reported in Champaign County, 27 came back positive, or 2.7%",14.8571428571429,861.714285714286,5.57142857142857,0.428571428571429,0.258064516129032,3,3,8
2020-07-07,975,17,16,6,822,NA,131,137,0,1,0,13,3,40153,842,0.0242821208876049,0.0201900237529691,0.0164354644149578,"Of 842 new tests reported in Champaign County, 17 came back positive, or 2%",15.5714285714286,947.428571428571,5.28571428571429,0.571428571428571,0.290322580645161,4,4,9
2020-07-08,980,5,17,7,832,NA,124,131,0,1,1,10,-7,40447,294,0.0242292382624175,0.0170068027210884,0.0159123055162659,"Of 294 new tests reported in Champaign County, 5 came back positive, or 1.7%",12.8571428571429,808,5.28571428571429,0.714285714285714,0.32258064516129,5,5,10
2020-07-09,998,18,17,7,857,NA,117,124,0,0,0,25,-7,41146,699,0.0242550916249453,0.0257510729613734,0.0155274531775252,"Of 699 new tests reported in Champaign County, 18 came back positive, or 2.6%",13.8571428571429,892.428571428571,5.71428571428571,0.714285714285714,0.32258064516129,5,5,10
